feature,mean,std
op_setting_1,-1.1178986378653839e-05,0.0022026009881075163
op_setting_2,4.237935388136009e-06,0.00029401934467716064
op_setting_3,100.0,1.0
T24,642.4750877105396,0.40088377856208557
T30,1588.0992038472805,5.003082997813231
T50,1404.7353620488395,6.688053856573916
P15,21.60970127546139,0.0017040586954549812
P30,553.7575227740922,0.6812599831102764
Nf,2388.0709908776116,0.057429991448456265
Nc,9058.407366454929,11.435824676071416
phi,521.7477238211751,0.5596054411348572
BPR,8.425843967048584,0.029008219704103055
htBleed,392.5716249236408,1.2335297272825931
W31,38.892501534524314,0.14167534810611626
W32,23.335742697019583,0.08411706269631687
T24_roll5_mean,642.4695175352662,0.29469264452063587
T24_delta1,0.002843648249883075,0.4239046425319114
T30_roll5_mean,1588.0334105174522,3.4151048655065948
T30_delta1,0.03402102219308377,5.7204425874096
T50_roll5_mean,1404.6239574928725,5.573091461495508
T50_delta1,0.05773513784624122,5.638980724002212
P15_roll5_mean,21.60969912462821,0.0008527347267797799
P15_delta1,7.636094137015834e-07,0.002346433315357391
P30_roll5_mean,553.7681023823951,0.5706657247596248
P30_delta1,-0.005849103047924939,0.5703740669763281
Nf_roll5_mean,2388.0701273780473,0.04990611630171824
Nf_delta1,0.00045726032758094075,0.04351663534172985
Nc_roll5_mean,9058.295922662654,10.543817000177047
Nc_delta1,0.05453783896323305,5.918494802149907
T_ratio_24_30,0.404559721868706,0.001199061032923411
T_ratio_30_50,1.1305503415111078,0.004870460622188343
P_ratio_15_30,0.03902382070594624,4.859295291904587e-05
N_ratio_f_c,0.2636307587388564,0.00033376654827181856
cycle_norm,0.5038179596823458,0.28867108171168143
health_index,0.4961820403176542,0.28867108171168143
